question,answer
Bagaimana cara penguatan pelaku logistik nasional dilakukan?,Mendukung pengembangan pelaku logistik nasional.
Apa yang dimaksud dengan peningkatan SDM logistik?,Meningkatkan kapasitas sumber daya manusia di sektor logistik.
Apa tujuan peningkatan investasi swasta prioritas sebagai pendorong transformasi ekonomi?,Mendukung investasi swasta dalam sektor-sektor prioritas untuk mendorong transformasi ekonomi.
Bagaimana cara meningkatkan investasi berorientasi ekspor?,Meningkatkan partisipasi dalam rantai produksi global.
Apa yang dimaksud dengan peningkatan investasi dalam infrastruktur konektivitas dan logistik?,Mendukung investasi dalam infrastruktur konektivitas dan logistik.
"Bagaimana cara meningkatkan keterkaitan ekonomi dan rantai nilai domestik, antardaerah, dan global?","Meningkatkan keterkaitan ekonomi dan rantai nilai domestik, antardaerah, dan global."
Apa tujuan peningkatan ekspor produk berteknologi menengah tinggi?,Meningkatkan ekspor produk dengan teknologi menengah hingga tinggi.
Apa tujuan utama pemenuhan layanan dasar dan infrastruktur perdesaan?,Meningkatkan akses dan kualitas layanan dasar serta infrastruktur di daerah perdesaan.
Wilayah mana saja yang menjadi fokus pemenuhan layanan dasar dan infrastruktur perdesaan?,Seluruh desa di Indonesia.
Apa yang dimaksud dengan transformasi dan pemberdayaan ekonomi perdesaan?,Mendorong transformasi ekonomi dan pemberdayaan masyarakat di desa.
Bagaimana cara meningkatkan ketahanan sosial di perdesaan?,Melalui program-program yang mendukung ketahanan sosial dan pelestarian lingkungan hidup di desa.
"Apa tujuan penguatan tata kelola, keuangan, dan pendampingan desa adaptif?",Meningkatkan tata kelola dan keuangan desa serta menyediakan pendampingan yang adaptif.
Wilayah mana saja yang menjadi fokus transformasi pengembangan kawasan transmigrasi?,45 kawasan transmigrasi di Indonesia.
Apa yang dimaksud dengan pembangunan kawasan perbatasan?,Meningkatkan pembangunan di kawasan perbatasan untuk memperkuat kedaulatan dan kesejahteraan.
Wilayah mana saja yang menjadi fokus pembangunan kawasan perbatasan?,Pusat kegiatan strategis nasional dan kecamatan perbatasan prioritas.
Apa tujuan transformasi pembangunan daerah lambat tumbuh?,Mendorong transformasi pembangunan di daerah lambat tumbuh menjadi daerah berkembang dan maju.
Wilayah mana saja yang menjadi fokus transformasi pembangunan daerah lambat tumbuh?,42 kabupaten yang terindikasi daerah lambat tumbuh.
Apa yang dimaksud dengan fasilitasi pembangunan rumah baru layak huni?,Meningkatkan kualitas perumahan bagi masyarakat berpenghasilan rendah di bawah capaian akses rumah layak huni nasional tahun 2023.
Wilayah mana saja yang menjadi fokus pembangunan rumah susun di perkotaan?,Kawasan perkotaan prioritas.
Apa tujuan penanganan permukiman kumuh secara terpadu?,Mengurangi permukiman kumuh dengan pendekatan terpadu.
Wilayah mana saja yang menjadi fokus penanganan permukiman kumuh secara terpadu?,Kawasan permukiman kumuh prioritas.
Apa yang dimaksud dengan fasilitasi kemudahan dan bantuan pembiayaan perumahan?,"Menyediakan kemudahan dan bantuan pembiayaan untuk perumahan, terutama bagi pembelian rumah pertama."
Wilayah mana saja yang menjadi fokus perencanaan kawasan untuk mewujudkan sistem perkotaan nasional?,"10 Wilayah Metropolitan (Medan, Palembang, Jakarta, Bandung, Semarang, Surabaya, Denpasar, Banjarmasin, Manado, dan Makassar)."
Apa tujuan peningkatan layanan perkotaan?,"Meningkatkan layanan perkotaan untuk menjadikannya layak huni, inklusif, dan berbudaya."
Wilayah mana saja yang menjadi fokus peningkatan layanan perkotaan?,10 Wilayah Metropolitan.
Apa yang dimaksud dengan peningkatan pertumbuhan ekonomi dan kualitas ketenagakerjaan?,Mendorong pertumbuhan ekonomi dan kualitas ketenagakerjaan di kota-kota besar.
Wilayah mana saja yang menjadi fokus peningkatan pertumbuhan ekonomi dan kualitas ketenagakerjaan?,10 Wilayah Metropolitan.
Apa tujuan peningkatan kualitas lingkungan dan ketangguhan bencana?,Meningkatkan kualitas lingkungan dan ketangguhan bencana di kota-kota besar.
Wilayah mana saja yang menjadi fokus peningkatan kualitas lingkungan dan ketangguhan bencana?,10 Wilayah Metropolitan.
Apa yang dimaksud dengan peningkatan kapasitas tata kelola perkotaan?,"Meningkatkan kapasitas tata kelola perkotaan untuk mencapai transparansi, akuntabilitas, cerdas, dan terpadu."
Wilayah mana saja yang menjadi fokus peningkatan kapasitas tata kelola perkotaan?,10 Wilayah Metropolitan.
Apa tujuan bantuan sosial yang adaptif melalui Kartu Sejahtera?,"Menyediakan bantuan sosial yang adaptif melalui berbagai program seperti Program Keluarga Harapan, Sembako, Program Indonesia Pintar, dan Kartu Indonesia Sehat."
Wilayah mana saja yang menjadi fokus rehabilitasi sosial dan layanan pengasuhan bagi kelompok rentan?,"Seluruh wilayah Indonesia dengan jumlah penyandang disabilitas, lansia, dan penduduk rentan tertinggi."
Apa yang dimaksud dengan pemberdayaan ekonomi yang inklusif dan berkelanjutan melalui Kartu Usaha?,"Meningkatkan pemberdayaan ekonomi melalui penguatan kapasitas usaha, akses pasar, sertifikasi produk, perizinan usaha, dan akses pembiayaan."
Wilayah mana saja yang menjadi fokus pemberdayaan ekonomi melalui Kartu Usaha?,"Daerah Istimewa Aceh, Jawa Barat, Jawa Tengah, Jawa Timur."
Apa tujuan memastikan lingkungan yang inklusif dan bebas hambatan untuk penyandang disabilitas?,Meningkatkan akses informasi dan kesempatan kerja untuk penyandang disabilitas.
Wilayah mana saja yang menjadi fokus memastikan lingkungan inklusif untuk penyandang disabilitas?,Wilayah-wilayah dengan jumlah penyandang disabilitas tertinggi.
Apa yang dimaksud dengan mendukung basis data terpadu untuk pemberantasan kemiskinan?,Mengembangkan basis data terpadu untuk pemberantasan kemiskinan melalui satu sistem registrasi sosial ekonomi.
Wilayah mana saja yang menjadi fokus pengembangan basis data terpadu untuk pemberantasan kemiskinan?,Seluruh provinsi di Indonesia.
Apa tujuan pengembangan pelayanan kesehatan unggulan berstandar internasional di Ibu Kota Nusantara?,Meningkatkan pelayanan kesehatan berstandar internasional di ibu kota baru.
Wilayah mana saja yang menjadi fokus pengembangan pelayanan kesehatan unggulan berstandar internasional?,Daerah Khusus Ibu Kota Nusantara.
Apa yang dimaksud dengan peningkatan kapasitas lembaga pendidikan eksisting dan pembangunan sarana pendidikan baru?,Mengembangkan kapasitas lembaga pendidikan dan membangun sarana pendidikan baru di ibu kota baru.
Wilayah mana saja yang menjadi fokus peningkatan kapasitas lembaga pendidikan dan pembangunan sarana pendidikan baru?,"Daerah Khusus Ibu Kota Nusantara, Kalimantan Timur."
Apa tujuan pemindahan aparatur sipil negara dan pegawai lembaga negara ke Ibu Kota Nusantara?,Mendukung pemindahan aparatur sipil negara dan pegawai lembaga negara ke ibu kota baru.
Wilayah mana saja yang menjadi fokus pemindahan aparatur sipil negara dan pegawai lembaga negara?,Daerah Khusus Ibu Kota Nusantara.
Apa yang dimaksud dengan pembangunan dan pengembangan lanjutan infrastruktur dasar dan utilitas di Ibu Kota Nusantara?,Meningkatkan infrastruktur dasar dan utilitas di ibu kota baru.
Wilayah mana saja yang menjadi fokus pembangunan dan pengembangan lanjutan infrastruktur dasar dan utilitas?,"Daerah Khusus Ibu Kota Nusantara, Kalimantan Timur."
Apa tujuan pembangunan awal klaster-klaster ekonomi prioritas di Ibu Kota Nusantara?,Mengembangkan klaster ekonomi prioritas seperti ekowisata dan MICE tourism di ibu kota baru.
Wilayah mana saja yang menjadi fokus pembangunan awal klaster-klaster ekonomi prioritas?,"Daerah Khusus Ibu Kota Nusantara, Kalimantan Timur."
Apa yang dimaksud dengan penyediaan infrastruktur dan layanan angkutan umum massal di kawasan perkotaan?,Menyediakan infrastruktur dan layanan angkutan umum massal untuk mendukung mobilitas masyarakat di kawasan perkotaan.
Wilayah mana saja yang menjadi fokus penyediaan infrastruktur dan layanan angkutan umum massal?,Kawasan perkotaan.
Apa tujuan perluasan cakupan Jaminan Sosial Nasional secara inklusif?,Menyediakan jaminan sosial yang inklusif untuk seluruh masyarakat Indonesia.
Wilayah mana saja yang menjadi fokus perluasan cakupan Jaminan Sosial Nasional?,Seluruh provinsi di Indonesia.
Apa yang dimaksud dengan pembangunan rumah susun milik dan sewa?,"Membangun rumah susun milik dan sewa untuk masyarakat berpenghasilan rendah, termasuk generasi milenial dan generasi Z."
Wilayah mana saja yang menjadi fokus pembangunan rumah susun milik dan sewa?,Kawasan perkotaan prioritas.
Apa tujuan peningkatan investasi swasta sebagai pendorong transformasi ekonomi?,Mendukung investasi swasta dalam sektor-sektor prioritas untuk mendorong transformasi ekonomi.
Wilayah mana saja yang menjadi fokus peningkatan investasi swasta?,Seluruh provinsi di Indonesia.
Apa tujuan utama digitalisasi pelayanan publik?,Meningkatkan efisiensi dan aksesibilitas pelayanan publik melalui digitalisasi.
Wilayah mana saja yang menjadi fokus digitalisasi pelayanan publik?,Nasional.
Apa yang dimaksud dengan penerapan total reward untuk aparatur sipil negara?,Meningkatkan motivasi dan kinerja aparatur sipil negara dengan sistem total reward.
Wilayah mana saja yang menjadi fokus penerapan total reward?,Nasional.
Apa tujuan dari pengelolaan dan audit keuangan partai politik?,Memastikan transparansi dan akuntabilitas keuangan partai politik.
Wilayah mana saja yang menjadi fokus pengelolaan dan audit keuangan partai politik?,Nasional.
Apa yang dimaksud dengan penyusunan dasar hukum pembentukan lembaga tunggal pengelola regulasi?,Menyusun dasar hukum untuk pembentukan lembaga tunggal yang mengelola regulasi.
Wilayah mana saja yang menjadi fokus penyusunan dasar hukum pembentukan lembaga tunggal pengelola regulasi?,Nasional.
Apa tujuan sinkronisasi administrasi kependudukan dan statistik hayati dengan sistem registrasi sosial ekonomi?,Mengintegrasikan data kependudukan dan statistik hayati dengan sistem registrasi sosial ekonomi.
Wilayah mana saja yang menjadi fokus sinkronisasi administrasi kependudukan dan statistik hayati?,Nasional.
Apa yang dimaksud dengan peningkatan daya saing BUMN?,Meningkatkan kinerja dan daya saing BUMN untuk mendukung pembangunan nasional.
Wilayah mana saja yang menjadi fokus peningkatan daya saing BUMN?,Nasional.
Apa tujuan peningkatan efisiensi peran BUMN dalam penugasan pemerintah?,Meningkatkan efisiensi BUMN dalam melaksanakan penugasan dari pemerintah.
Wilayah mana saja yang menjadi fokus peningkatan efisiensi peran BUMN?,Nasional.
Apa yang dimaksud dengan ekstensifikasi dan intensifikasi penerimaan perpajakan?,Meningkatkan penerimaan perpajakan melalui perluasan basis pajak dan peningkatan kepatuhan.
Wilayah mana saja yang menjadi fokus ekstensifikasi dan intensifikasi penerimaan perpajakan?,Nasional.
Apa tujuan optimalisasi local taxing power?,Memperkuat kemampuan daerah dalam mengelola dan mengoptimalkan sumber-sumber pajak lokal.
Wilayah mana saja yang menjadi fokus optimalisasi local taxing power?,Seluruh provinsi.
Apa yang dimaksud dengan intensifikasi penerimaan negara bukan pajak?,Meningkatkan penerimaan negara dari sumber-sumber bukan pajak.
Wilayah mana saja yang menjadi fokus intensifikasi penerimaan negara bukan pajak?,Nasional.
Apa tujuan peningkatan efektivitas belanja pemerintah pusat?,Meningkatkan efektivitas dan efisiensi belanja pemerintah pusat untuk mencapai hasil yang optimal.
Wilayah mana saja yang menjadi fokus peningkatan efektivitas belanja pemerintah pusat?,Nasional.
Apa yang dimaksud dengan optimalisasi kualitas belanja transfer ke daerah (TKD)?,Meningkatkan kualitas belanja transfer ke daerah untuk mendukung pembangunan daerah yang lebih efektif.
Wilayah mana saja yang menjadi fokus optimalisasi kualitas belanja TKD?,Seluruh provinsi.
Apa tujuan ekstensifikasi dan intensifikasi sumber-sumber pembiayaan inovatif dan berkelanjutan?,Mencari dan mengoptimalkan sumber-sumber pembiayaan yang inovatif dan berkelanjutan untuk mendukung pembangunan.
Wilayah mana saja yang menjadi fokus ekstensifikasi dan intensifikasi sumber-sumber pembiayaan inovatif?,Nasional.
Apa yang dimaksud dengan pengendalian inflasi pangan bergejolak?,Mengendalikan inflasi pangan untuk menjaga stabilitas harga dan daya beli masyarakat.
Wilayah mana saja yang menjadi fokus pengendalian inflasi pangan bergejolak?,Seluruh provinsi.
Apa tujuan kolaborasi pencegahan penyalahgunaan narkotika?,Meningkatkan kolaborasi antar lembaga untuk mencegah penyalahgunaan narkotika.
Wilayah mana saja yang menjadi fokus kolaborasi pencegahan penyalahgunaan narkotika?,Nasional.
Apa yang dimaksud dengan penutupan akses ke situs perjudian online?,Menutup akses ke situs perjudian online untuk mengurangi praktik perjudian ilegal.
Wilayah mana saja yang menjadi fokus penutupan akses ke situs perjudian online?,Nasional.
"Apa tujuan utama peningkatan literasi keagamaan yang moderat, inklusif, dan bermaslahat?",Meningkatkan literasi keagamaan yang mendukung kerukunan dan toleransi.
Wilayah mana saja yang menjadi fokus peningkatan literasi keagamaan?,Seluruh provinsi.
Apa yang dimaksud dengan peningkatan bimbingan keagamaan dan bimbingan perkawinan?,Meningkatkan layanan bimbingan keagamaan dan perkawinan untuk masyarakat.
Wilayah mana saja yang menjadi fokus peningkatan bimbingan keagamaan dan perkawinan?,Seluruh provinsi.
"Apa tujuan dari pencegahan, advokasi, dan mitigasi konflik?",Mencegah dan menangani konflik sosial melalui advokasi dan mitigasi yang efektif.
"Wilayah mana saja yang menjadi fokus pencegahan, advokasi, dan mitigasi konflik?",Seluruh provinsi.
Apa yang dimaksud dengan peningkatan kerukunan umat beragama?,Meningkatkan kerukunan antarumat beragama untuk menjaga kedamaian sosial.
Wilayah mana saja yang menjadi fokus peningkatan kerukunan umat beragama?,Seluruh provinsi.
Apa tujuan dari peningkatan peran lembaga agama dan keagamaan dalam layanan keagamaan?,Menguatkan peran lembaga agama dalam memberikan layanan keagamaan kepada masyarakat.
Wilayah mana saja yang menjadi fokus peningkatan peran lembaga agama dan keagamaan?,Seluruh provinsi.
"Apa yang dimaksud dengan revitalisasi layanan KUA yang berkualitas, merata, dan inklusif?",Meningkatkan kualitas layanan Kantor Urusan Agama (KUA) di seluruh wilayah.
Wilayah mana saja yang menjadi fokus revitalisasi layanan KUA?,Seluruh provinsi.
Apa tujuan dari transformasi layanan penyelenggaraan ibadah haji?,Meningkatkan layanan penyelenggaraan ibadah haji untuk jemaah haji Indonesia.
Wilayah mana saja yang menjadi fokus transformasi layanan penyelenggaraan ibadah haji?,Seluruh provinsi.
Apa yang dimaksud dengan penjaminan produk halal?,Menjamin kehalalan produk untuk memenuhi kebutuhan masyarakat Muslim.
Wilayah mana saja yang menjadi fokus penjaminan produk halal?,Seluruh provinsi.
Apa tujuan dari pengembangan dana sosial keagamaan untuk mendukung program pembangunan?,Mengoptimalkan penggunaan dana sosial keagamaan untuk mendukung pembangunan.
Wilayah mana saja yang menjadi fokus pengembangan dana sosial keagamaan?,Seluruh provinsi.
Apa yang dimaksud dengan penguatan pendidikan karakter dan pendidikan kewargaan serta pembinaan ideologi Pancasila?,Meningkatkan pendidikan karakter dan kewargaan yang berlandaskan ideologi Pancasila.
Wilayah mana saja yang menjadi fokus penguatan pendidikan karakter dan pendidikan kewargaan?,Seluruh provinsi.
Apa tujuan dari pengelolaan terpadu cagar budaya?,Melakukan pengelolaan terpadu untuk melestarikan cagar budaya.
Wilayah mana saja yang menjadi fokus pengelolaan terpadu cagar budaya?,Seluruh provinsi.
"Apa yang dimaksud dengan pelestarian nilai budaya, tradisi, dan kearifan lokal?","Melestarikan nilai budaya, tradisi, dan kearifan lokal yang ada di masyarakat."
"Wilayah mana saja yang menjadi fokus pelestarian nilai budaya, tradisi, dan kearifan lokal?",Seluruh provinsi.
Apa tujuan dari pengembangan produk dan jasa berbasis seni budaya?,Mengembangkan produk dan jasa yang berbasis seni budaya untuk mendukung ekonomi kreatif.
Wilayah mana saja yang menjadi fokus pengembangan produk dan jasa berbasis seni budaya?,Seluruh provinsi.
Apa yang dimaksud dengan pengelolaan terpadu festival seni budaya daerah berkelas internasional?,Mengelola festival seni budaya daerah agar dapat bersaing di tingkat internasional.
Wilayah mana saja yang menjadi fokus pengelolaan festival seni budaya daerah?,Seluruh provinsi.
Apa tujuan dari pengembangan kawasan pemajuan kebudayaan?,Mengembangkan kawasan yang mendukung pemajuan kebudayaan.
Wilayah mana saja yang menjadi fokus pengembangan kawasan pemajuan kebudayaan?,Seluruh provinsi.
Apa yang dimaksud dengan pelindungan hutan adat dan tanah ulayat serta pemberdayaan masyarakat dan komunitas adat?,Melindungi hutan adat dan tanah ulayat serta memberdayakan masyarakat adat.
Wilayah mana saja yang menjadi fokus pelindungan hutan adat dan tanah ulayat?,Seluruh provinsi.
Apa tujuan dari pengembangan bahasa Indonesia sebagai bahasa internasional?,Meningkatkan penggunaan bahasa Indonesia di kancah internasional.
Wilayah mana saja yang menjadi fokus pengembangan bahasa Indonesia?,Seluruh provinsi.
"Apa yang dimaksud dengan pelestarian bahasa, sastra, dan aksara daerah?","Melestarikan bahasa, sastra, dan aksara daerah yang ada di Indonesia."
"Wilayah mana saja yang menjadi fokus pelestarian bahasa, sastra, dan aksara daerah?",Seluruh provinsi.
Apa tujuan dari transformasi kearsipan untuk mengembangkan memori kolektif bangsa dan tata kelola pemerintahan?,Mengembangkan sistem kearsipan yang mendukung memori kolektif bangsa dan tata kelola pemerintahan.
Wilayah mana saja yang menjadi fokus transformasi kearsipan?,Seluruh provinsi.
Apa yang dimaksud dengan peningkatan peran lembaga dan kapasitas SDM bidang penanggulangan bencana?,Meningkatkan peran lembaga dan kapasitas SDM dalam penanggulangan bencana.
Wilayah mana saja yang menjadi fokus peningkatan peran lembaga dan kapasitas SDM?,Seluruh provinsi.
Apa tujuan dari membangun sistem peringatan dini multi ancaman bahaya dan pusat pengendali operasi penanggulangan bencana terpadu?,Mengembangkan sistem peringatan dini dan pusat pengendali operasi untuk penanggulangan bencana.
Wilayah mana saja yang menjadi fokus pembangunan sistem peringatan dini dan pusat pengendali operasi?,Seluruh provinsi.
Apa yang dimaksud dengan memulihkan pelayanan dasar di daerah terdampak bencana?,Memulihkan pelayanan dasar di daerah yang terdampak bencana.
Wilayah mana saja yang menjadi fokus pemulihan pelayanan dasar di daerah terdampak bencana?,Seluruh provinsi.
Apa tujuan dari meningkatkan layanan literasi dan edukasi kebencanaan berbasis masyarakat?,"Meningkatkan literasi dan edukasi kebencanaan yang berbasis masyarakat, termasuk melalui desa tangguh bencana."
Wilayah mana saja yang menjadi fokus peningkatan layanan literasi dan edukasi kebencanaan?,Seluruh provinsi.
Apa yang dimaksud dengan meningkatkan keandalan dan kebermanfaatan infrastruktur tahan bencana?,Meningkatkan keandalan dan manfaat infrastruktur yang tahan terhadap bencana.
Wilayah mana saja yang menjadi fokus peningkatan keandalan infrastruktur tahan bencana?,Seluruh provinsi.
Apa tujuan dari pembangunan pusat logistik dan peralatan berbasis kewilayahan?,Membangun pusat logistik dan peralatan yang berbasis kewilayahan.
Wilayah mana saja yang menjadi fokus pembangunan pusat logistik dan peralatan?,Seluruh provinsi.
