input,instuction,output
" Berdasarkan RKP 2025 target Laju Pertumbuhan Ekonomi (LPE) Jakarta adalah 4,98% - 5,23%",Berapa target Laju Pertumbuhan Ekonomi (LPE) Jakarta?,"4,98% - 5,23%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Jakarta adalah 3,55% - 3,85%",Berapa target persentase kemiskinan di Jakarta?,"3,55% - 3,85%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Jakarta adalah 5,54% - 6,40%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Jakarta?,"5,54% - 6,40%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Jakarta adalah 0,62.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Jakarta?,"0,62"
"Berdasarkan RKP 2025 target rasio gini di Jakarta adalah 0,425 - 0,430.",Berapa target Rasio Gini di Jakarta?,"0,425 - 0,430"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Jakarta adalah 14,65%.",Berapa target persentase Intensitas Emisi GRK di Jakarta?,"14,65%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Jawa Barat adalah 4,96% - 5,37%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Jawa Barat?,"4,96% - 5,37%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Jawa Barat adalah 5,85% - 6,46%.",Berapa target persentase kemiskinan di Jawa Barat?,"5,85% - 6,46%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Jawa Barat adalah 6,42% - 6,99%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Jawa Barat?,"6,42% - 6,99%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Jawa Barat adalah 0,55.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Jawa Barat?,"0,55"
"Berdasarkan RKP 2025 target rasio gini di Jawa Barat adalah 0,383 - 0,390.",Berapa target Rasio Gini di Jawa Barat?,"0,383 - 0,390"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Jawa Barat adalah 6,61%.",Berapa target persentase Intensitas Emisi GRK di Jawa Barat?,"6,61%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Jawa Tengah adalah 4,90% - 5,60%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Jawa Tengah?,"4,90% - 5,60%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Jawa Tengah adalah 9,00% - 9,66%.",Berapa target persentase kemiskinan di Jawa Tengah?,"9,00% - 9,66%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Jawa Tengah adalah 4,42% - 4,81%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Jawa Tengah?,"4,42% - 4,81%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Jawa Tengah adalah 0,59.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Jawa Tengah?,"0,59"
"Berdasarkan RKP 2025 target rasio gini di Jawa Tengah adalah 0,362 - 0,367.",Berapa target Rasio Gini di Jawa Tengah?,"0,362 - 0,367"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Jawa Tengah adalah 0,32%.",Berapa target persentase Intensitas Emisi GRK di Jawa Tengah?,"0,32%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Daerah Istimewa Yogyakarta adalah 5,30% - 5,80%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Daerah Istimewa Yogyakarta?,"5,30% - 5,80%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Daerah Istimewa Yogyakarta adalah 10,00% - 10,50%.",Berapa target persentase kemiskinan di Daerah Istimewa Yogyakarta?,"10,00% - 10,50%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Daerah Istimewa Yogyakarta adalah 3,12% - 3,51%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Daerah Istimewa Yogyakarta?,"3,12% - 3,51%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Daerah Istimewa Yogyakarta adalah 0,70.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Daerah Istimewa Yogyakarta?,"0,70"
"Berdasarkan RKP 2025 target rasio gini di Daerah Istimewa Yogyakarta adalah 0,443 - 0,447.",Berapa target Rasio Gini di Daerah Istimewa Yogyakarta?,"0,443 - 0,447"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Daerah Istimewa Yogyakarta adalah 62,14%.",Berapa target persentase Intensitas Emisi GRK di Daerah Istimewa Yogyakarta?,"62,14%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Jawa Timur adalah 5,10% - 5,41%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Jawa Timur?,"5,10% - 5,41%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Jawa Timur adalah 7,58% - 8,08%.",Berapa target persentase kemiskinan di Jawa Timur?,"7,58% - 8,08%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Jawa Timur adalah 3,90% - 4,49%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Jawa Timur?,"3,90% - 4,49%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Jawa Timur adalah 0,61.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Jawa Timur?,"0,61"
"Berdasarkan RKP 2025 target rasio gini di Jawa Timur adalah 0,381 - 0,386.",Berapa target Rasio Gini di Jawa Timur?,"0,381 - 0,386"
Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Jawa Timur adalah 0.01.,Berapa target persentase Intensitas Emisi GRK di Jawa Timur?,0.01
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Banten adalah 5,28% - 5,33%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Banten?,"5,28% - 5,33%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Banten adalah 4,50% - 5,50%.",Berapa target persentase kemiskinan di Banten?,"4,50% - 5,50%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Banten adalah 6,87% - 7,24%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Banten?,"6,87% - 7,24%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Banten adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Banten?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di Banten adalah 0,344 - 0,365.",Berapa target Rasio Gini di Banten?,"0,344 - 0,365"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Banten adalah 43,56%.",Berapa target persentase Intensitas Emisi GRK di Banten?,"43,56%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Bali adalah 5,30% - 6,30%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Bali?,"5,30% - 6,30%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Bali adalah 3,57% - 3,93%.",Berapa target persentase kemiskinan di Bali?,"3,57% - 3,93%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Bali adalah 1,87% - 2,35%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Bali?,"1,87% - 2,35%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Bali adalah 0,59.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Bali?,"0,59"
"Berdasarkan RKP 2025 target rasio gini di Bali adalah 0,355 - 0,359.",Berapa target Rasio Gini di Bali?,"0,355 - 0,359"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Bali adalah 5,36%.",Berapa target persentase Intensitas Emisi GRK di Bali?,"5,36%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Nusa Tenggara Barat adalah 6,00% - 6,50%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Nusa Tenggara Barat?,"6,00% - 6,50%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Nusa Tenggara Barat adalah 11,68% - 12,18%.",Berapa target persentase kemiskinan di Nusa Tenggara Barat?,"11,68% - 12,18%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Nusa Tenggara Barat adalah 2,19% - 2,79%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Nusa Tenggara Barat?,"2,19% - 2,79%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Nusa Tenggara Barat adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Nusa Tenggara Barat?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di Nusa Tenggara Barat adalah 0,369 - 0,373.",Berapa target Rasio Gini di Nusa Tenggara Barat?,"0,369 - 0,373"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Nusa Tenggara Barat adalah 25,99%.",Berapa target persentase Intensitas Emisi GRK di Nusa Tenggara Barat?,"25,99%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Nusa Tenggara Timur adalah 4,75% - 5,65%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Nusa Tenggara Timur?,"4,75% - 5,65%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Nusa Tenggara Timur adalah 15,32% - 15,82%.",Berapa target persentase kemiskinan di Nusa Tenggara Timur?,"15,32% - 15,82%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Nusa Tenggara Timur adalah 2,49% - 2,99%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Nusa Tenggara Timur?,"2,49% - 2,99%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Nusa Tenggara Timur adalah 0,47.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Nusa Tenggara Timur?,"0,47"
"Berdasarkan RKP 2025 target rasio gini di Nusa Tenggara Timur adalah 0,319 - 0,324.",Berapa target Rasio Gini di Nusa Tenggara Timur?,"0,319 - 0,324"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Nusa Tenggara Timur adalah 61,82%.",Berapa target persentase Intensitas Emisi GRK di Nusa Tenggara Timur?,"61,82%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Kalimantan Barat adalah 5,30% - 5,65%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Barat?,"5,30% - 5,65%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Kalimantan Barat adalah 5,65% - 6,15%.",Berapa target persentase kemiskinan di Kalimantan Barat?,"5,65% - 6,15%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Kalimantan Barat adalah 4,73% - 4,86%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Barat?,"4,73% - 4,86%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Kalimantan Barat adalah 0,50.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Barat?,"0,50"
"Berdasarkan RKP 2025 target rasio gini di Kalimantan Barat adalah 0,315 - 0,321.",Berapa target Rasio Gini di Kalimantan Barat?,"0,315 - 0,321"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Kalimantan Barat adalah 67,73%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Barat?,"67,73%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Kalimantan Tengah adalah 5,60%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Tengah?,"5,60%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Kalimantan Tengah adalah 4,11% - 4,61%.",Berapa target persentase kemiskinan di Kalimantan Tengah?,"4,11% - 4,61%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Kalimantan Tengah adalah 3,32% - 3,91%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Tengah?,"3,32% - 3,91%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Kalimantan Tengah adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Tengah?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di Kalimantan Tengah adalah 0,311 - 0,315.",Berapa target Rasio Gini di Kalimantan Tengah?,"0,311 - 0,315"
Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Kalimantan Tengah adalah 0.76.,Berapa target persentase Intensitas Emisi GRK di Kalimantan Tengah?,0.76
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Kalimantan Selatan adalah 4,97% - 5,28%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Selatan?,"4,97% - 5,28%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Kalimantan Selatan adalah 3,60% - 3,94%.",Berapa target persentase kemiskinan di Kalimantan Selatan?,"3,60% - 3,94%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Kalimantan Selatan adalah 3,86% - 4,25%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Selatan?,"3,86% - 4,25%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Kalimantan Selatan adalah 0,55.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Selatan?,"0,55"
"Berdasarkan RKP 2025 target rasio gini di Kalimantan Selatan adalah 0,307 - 0,311.",Berapa target Rasio Gini di Kalimantan Selatan?,"0,307 - 0,311"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Kalimantan Selatan adalah 75,97%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Selatan?,"75,97%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) kalimantan Timur adalah 6,28% - 6,58%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Timur?,"6,28% - 6,58%"
"Berdasarkan RKP 2025 target persentase kemiskinan di kalimantan Timur adalah 4,24% - 5,05%.",Berapa target persentase kemiskinan di Kalimantan Timur?,"4,24% - 5,05%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di kalimantan Timur adalah 4,50% - 5,14%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Timur?,"4,50% - 5,14%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di kalimantan Timur adalah 0,57.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Timur?,"0,57"
"Berdasarkan RKP 2025 target rasio gini di kalimantan Timur adalah 0,310 - 0,321.",Berapa target Rasio Gini di Kalimantan Timur?,"0,310 - 0,321"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di kalimantan Timur adalah 40,82%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Timur?,"40,82%"
"Berdasarkan RKP 2025 target laju pertumbuhan ekonomi (LPE) Kalimantan Utara adalah 5,31% - 6,50%.",Berapa target Laju Pertumbuhan Ekonomi (LPE) Kalimantan Utara?,"5,31% - 6,50%"
"Berdasarkan RKP 2025 target persentase kemiskinan di Kalimantan Utara adalah 4,33% - 5,07%.",Berapa target persentase kemiskinan di Kalimantan Utara?,"4,33% - 5,07%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di Kalimantan Utara adalah 3,90% - 3,94%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Kalimantan Utara?,"3,90% - 3,94%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) yang diharapkan di Kalimantan Utara adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) yang diharapkan di Kalimantan Utara?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di Kalimantan Utara adalah 0,263.",Berapa target Rasio Gini di Kalimantan Utara?,"0,263"
"Berdasarkan RKP 2025 target persentase intensitas emisi GRK di Kalimantan Utara adalah 55,77%.",Berapa target persentase Intensitas Emisi GRK di Kalimantan Utara?,"55,77%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Utara adalah 5,43% - 5,85%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Utara?,"5,43% - 5,85%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Utara adalah 5,59% - 6,19%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Utara?,"5,59% - 6,19%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Utara adalah 5,01% - 5,56%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Utara?,"5,01% - 5,56%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Utara adalah 0,51.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Utara?,"0,51"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Utara adalah 0,339 - 0,352.",Berapa target Rasio Gini di Provinsi Sulawesi Utara?,"0,339 - 0,352"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Utara adalah 54,9%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Utara?,"54,9%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Tengah adalah 12,72% - 13,28%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Tengah?,"12,72% - 13,28%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Tengah adalah 11,06% - 11,56%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Tengah?,"11,06% - 11,56%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Tengah adalah 2,25% - 2,94%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Tengah?,"2,25% - 2,94%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Tengah adalah 0,51.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Tengah?,"0,51"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Tengah adalah 0,298 - 0,302.",Berapa target Rasio Gini di Provinsi Sulawesi Tengah?,"0,298 - 0,302"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Tengah adalah 77,96%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Tengah?,"77,96%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Selatan adalah 5,50% - 6,30%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Selatan?,"5,50% - 6,30%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Selatan adalah 7,30% - 7,89%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Selatan?,"7,30% - 7,89%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Selatan adalah 3,80% - 4,10%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Selatan?,"3,80% - 4,10%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Selatan adalah 0,52.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Selatan?,"0,52"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Selatan adalah 0,371 - 0,376.",Berapa target Rasio Gini di Provinsi Sulawesi Selatan?,"0,371 - 0,376"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Selatan adalah 37,00%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Selatan?,"37,00%"
"Berdasarkan RKP 2025 target LPE (laju pertumbuhan ekonomi) provinsi Sulawesi Tenggara adalah 5,96% - 6,46%.",Berapa target LPE (Laju Pertumbuhan Ekonomi) Provinsi Sulawesi Tenggara?,"5,96% - 6,46%"
"Berdasarkan RKP 2025 target persentase kemiskinan di provinsi Sulawesi Tenggara adalah 10,04% -10,54%.",Berapa target persentase kemiskinan di Provinsi Sulawesi Tenggara?,"10,04% -10,54%"
"Berdasarkan RKP 2025 target tingkat pengangguran terbuka (TPT) di provinsi Sulawesi Tenggara adalah 2,54% - 3,04%.",Berapa target Tingkat Pengangguran Terbuka (TPT) di Provinsi Sulawesi Tenggara?,"2,54% - 3,04%"
"Berdasarkan RKP 2025 nilai indeks modal manusia (IMM) di provinsi Sulawesi Tenggara adalah 0,54.",Berapa nilai Indeks Modal Manusia (IMM) di Provinsi Sulawesi Tenggara?,"0,54"
"Berdasarkan RKP 2025 target rasio gini di provinsi Sulawesi Tenggara adalah 0,365 - 0,371.",Berapa target Rasio Gini di Provinsi Sulawesi Tenggara?,"0,365 - 0,371"
"Berdasarkan RKP 2025 target intensitas emisi GRK di provinsi Sulawesi Tenggara adalah 28,93%.",Berapa target Intensitas Emisi GRK di Provinsi Sulawesi Tenggara?,"28,93%"
